id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,#voxels
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,812,203,720192159
1140750808,PAM04_a(B2)_L,,PAM04_a,Traced,1220,221,728,126,258964557
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,647,130,498035936
1141328881,PAM04_a(B2)_R,,PAM04_a,Traced,1492,265,391,77,474678964
1141329053,PAM04_a(B2)_R,,PAM04_a,Traced,1824,278,598,114,408798680
1167632513,ER4d(ring)_R,,ER4d,Traced,2037,590,1,1,1211989816
1171768085,,,,Traced,485,252,3,2,143880669
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,2,1,1174302319
1202453960,,,,Traced,382,163,1,1,92859307
1203066222,PAM04_a(B2)_R,,PAM04_a,Traced,2490,381,743,137,515766690
1203066401,PAM04_a(B2)_R,,PAM04_a,Traced,2309,357,690,113,444720536
1205216792,,,,Traced,885,362,1,1,248160128
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,2,2,659070629
1233436426,PAM03(B2B'2a)_R,,PAM03,Traced,703,144,180,59,239327987
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,3,1,720375603
1262817736,,,,Traced,193,75,9,1,64333272
1263150527,KCa'B'_L?,,,Traced,243,99,1,1,106535146
1263832477,PAM03(B2B'2a)_L,,PAM03,Traced,571,107,239,47,145351462
1293507172,,,,Traced,189,75,1,1,60026139
1293511697,,,,Traced,261,101,1,1,74716735
1293524890,KCa'B'_L?,,,Traced,248,95,2,1,101623491
1293865654,,,,Traced,224,75,2,1,70282081
1294185362,,,,Traced,238,86,1,1,73400895
1294206758,,,,Traced,184,72,1,1,63937349
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,184,48,225739136
1297815807,PAM10(B1)_L,,PAM10,Traced,1604,427,535,136,472380184
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,1,3,1148479791
1324218580,,,,Traced,206,69,2,1,59560856
1324564234,,,,Traced,147,45,4,1,58021310
1324896347,,,,Traced,247,75,6,1,68684705
1326934065,,,,Traced,349,153,1,1,76589365
1328513713,PAM10(B1)_L,,PAM10,Traced,1522,456,502,146,513933742
1328522741,PAM10(B1)_L,,PAM10,Traced,1027,321,218,67,355086914
1357321396,,,,Traced,121,61,3,1,41314832
1357325785,,,,Traced,176,59,167,58,45871572
1357662502,,,,Traced,160,61,160,61,32021896
1357662534,,,,Traced,230,92,218,88,51576173
1358003595,,,,Traced,169,61,168,61,34160131
1358003625,,,,Traced,129,55,127,54,32243203
1358003629,,,,Traced,121,68,120,65,31932822
1358003652,,,,Traced,190,72,185,70,40487625
1358003654,,,,Traced,156,60,153,59,32711318
1358003660,,,,Traced,194,68,192,68,42980661
1358003670,,,,Orphan,23,7,23,7,2922485
1358003697,,,,Traced,147,65,144,63,35583682
1358007671,,,,Traced,161,64,161,64,38567663
1358007692,,,,Traced,705,63,700,63,84121598
1358007728,,,,Traced,168,61,165,60,38594065
1358007750,,,,Traced,153,55,147,53,37173376
1358007777,,,,Traced,164,64,161,62,41374187
1358007826,,,,Orphan,13,7,13,7,2159431
1358007839,,,,Traced,160,75,154,75,34751496
1358007840,,,,Traced,130,57,129,57,26948605
1358007843,,,,Traced,226,77,215,76,51035066
1358007857,,,,Traced,144,62,140,59,36132638
1358012014,,,,Traced,166,59,160,57,36803950
1358012025,,,,Traced,202,69,202,69,48958482
1358344644,,,,Traced,162,70,161,70,40472904
1358348788,,,,Traced,168,59,168,59,39293152
1358348803,,,,Traced,201,83,197,79,50443033
1358348850,,,,Traced,151,55,150,55,36398873
1358348886,,,,Assign,4,2,4,2,815415
1358348941,,,,Traced,128,56,119,52,36659557
1358353051,,,,Traced,187,73,185,72,38690938
1358353097,,,,Traced,190,63,188,63,43860510
1358353131,,,,Traced,163,72,156,69,37279110
1358353300,,,,Traced,160,12,160,12,12707025
1358357464,,,,Traced,155,57,155,57,33441709
1358357466,,,,Traced,229,76,223,74,45869797
1358685642,,,,Traced,203,70,194,69,50064268
1358694192,,,,Traced,161,63,159,62,37459129
1358694219,,,,Traced,166,59,164,57,41226151
1358698413,,,,Traced,198,67,195,65,49214649
1358698461,,,,Traced,240,81,235,80,50871205
1359393445,,,,Traced,27,6,27,6,2453148
1359393467,,,,Traced,13,2,13,2,1175275
1386975068,,,,Traced,236,73,236,73,42542524
1386975092,,,,Traced,162,69,159,66,40815924
1387324647,,,,Traced,115,55,114,54,37477504
1387324803,,,,Traced,170,64,155,59,45207491
1387583729,PAM03(B2B'2a)_L,,PAM03,Traced,338,90,175,48,119268985
1387583807,PAM03(B2B'2a)_R,,PAM03,Traced,538,121,228,59,193662875
1387665837,,,,Traced,166,55,157,55,39802364
1388356258,,,,Traced,273,20,266,20,25640858
1388356311,,,,Traced,133,51,132,49,38130776
1388688810,,,,Traced,123,53,123,52,29119398
1388688815,,,,Traced,111,66,111,66,32229264
1388688861,,,,Traced,134,67,134,67,29328271
1388688864,,,,Traced,129,61,129,61,31201689
1388688892,,,,Traced,131,47,131,47,29749796
1388693002,,,,Traced,124,59,124,59,30359410
1388693021,,,,Traced,142,67,142,67,29923532
1388693087,,,,Traced,180,75,180,75,45180578
1388693141,,,,Traced,139,64,134,64,38006707
1388693159,,,,Traced,166,79,164,78,38659912
1388693173,,,,Traced,118,52,117,52,31186387
1388693175,,,,Traced,152,68,152,68,29687301
1388693182,,,,Traced,138,74,138,73,35411763
1388693188,,,,Traced,116,56,116,56,31941300
1388693197,,,,Traced,152,57,151,57,30638854
1388693210,,,,Traced,118,51,118,51,27348303
1388697099,,,,Traced,172,60,171,59,40419645
1388697271,,,,Traced,133,63,133,63,33359102
1388697430,,,,Traced,182,61,182,61,41438956
