id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,#voxels
1421666260,KCab-m_R,,KCab-m,Traced,539,204,147,66,182271097
1449662010,,,,Orphan,23,16,23,16,8919708
1449670372,KCab-s_R,,KCab-s,Traced,640,278,199,92,361396154
1450011431,KCab-c_R,,KCab-c,Traced,328,134,84,35,211232050
1450011990,,,,Orphan,15,6,15,6,2665689
1450663446,,,,Orphan,16,5,16,5,1914039
1451341240,KCab-c_R,,KCab-c,Traced,371,166,122,52,113871309
1451695303,KCab-m_R,,KCab-m,Traced,569,186,118,50,266909019
1452001679,,,,Orphan,1,2,1,2,43876
1452317118,,,,Orphan,4,2,4,2,285024
1481383029,,,,Orphan,2,2,2,2,597416
1481383373,,,,Orphan,7,5,7,5,3284420
1481698342,,,,Orphan,4,2,4,2,579354
1481728867,,,,Orphan,4,4,4,4,1785107
1483688297,,,,Orphan,14,1,14,1,109634
1512081419,,,,Orphan,1,2,1,2,740498
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,14,8,407157814
1573792824,,,,Orphan,11,6,11,6,3416838
5812979168,PAM06_b(B'2m)_L,,PAM06_b,Traced,1195,248,8,2,394753648
5812979693,KCa'B'_L?,,,Traced,375,122,1,2,107809791
5812980179,KCab-s_R,,KCab-s,Traced,633,249,161,77,344455002
5812980192,KCab-m_R,,KCab-m,Traced,512,183,129,58,287185922
5812980207,KCab-m_R,,KCab-m,Traced,515,164,137,53,238247809
5812980209,KCab-m_R,,KCab-m,Traced,544,211,174,73,263690557
5812980212,KCab-m_R,,KCab-m,Traced,541,206,129,64,178594655
5812980219,KCab-m_R,,KCab-m,Traced,511,173,159,51,260401320
5812980220,KCab-c_R,,KCab-c,Traced,402,155,110,50,263488100
5812980222,KCab-m_R,,KCab-m,Traced,559,211,143,69,291314412
5812980351,KCab-s_R,,KCab-s,Traced,632,263,213,87,358965086
5812980369,KCab-m_R,,KCab-m,Traced,494,197,136,54,275608153
5812980370,KCab-c_R,,KCab-c,Traced,441,160,122,51,213660513
5812980376,KCab-m_R,,KCab-m,Traced,538,190,153,59,332831080
5812980378,KCab-s_R,,KCab-s,Traced,575,246,187,88,300916896
5812980379,KCab-c_R,,KCab-c,Traced,394,128,125,38,122198327
5812980395,KCab-m_R,,KCab-m,Traced,478,198,127,73,167373384
5812980397,KCab-s_R,,KCab-s,Traced,518,202,143,64,279572062
5812980398,KCab-s_R,,KCab-s,Traced,572,235,172,73,312794769
5812980404,KCab-s_R,,KCab-s,Traced,549,202,158,71,248490109
5812980408,KCab-s_R,,KCab-s,Traced,643,244,196,85,364913789
5812980410,KCab-m_R,,KCab-m,Traced,483,165,104,53,249401368
5812980414,KCab-m_R,,KCab-m,Traced,462,151,118,47,228442386
5812980425,KCab-s_R,,KCab-s,Traced,601,213,168,77,254520884
5812980426,KCab-s_R,,KCab-s,Traced,621,211,217,73,295948785
5812980428,KCab-s_R,,KCab-s,Traced,625,230,137,66,284472995
5812980432,KCab-c_R,,KCab-c,Traced,455,132,143,32,136218532
5812980438,KCab-m_R,,KCab-m,Traced,562,179,124,55,178690944
5812980444,KCab-s_R,,KCab-s,Traced,652,231,186,88,297248805
5812980446,KCab-m_R,,KCab-m,Traced,546,191,153,66,287220861
5812980448,KCab-c_R,,KCab-c,Traced,392,163,122,53,143211749
5812980555,KCab-s_R,,KCab-s,Traced,606,218,219,81,343429828
5812980557,KCab-m_R,,KCab-m,Traced,594,205,139,56,172215770
5812980561,KCab-m_R,,KCab-m,Traced,561,213,151,57,288691782
5812980566,KCab-p_R,,KCab-p,Traced,708,255,217,75,364085447
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,142,53,431109241
5812980569,KCab-c_R,,KCab-c,Traced,552,172,126,50,257300142
5812980590,KCab-c_R,,KCab-c,Traced,378,142,111,45,222164621
5812980593,KCab-m_R,,KCab-m,Traced,545,189,145,60,246768297
5812980594,KCab-c_R,,KCab-c,Traced,578,188,184,63,255650510
5812980597,KCab-c_R,,KCab-c,Traced,418,155,132,53,227714706
5812980599,KCab-m_R,,KCab-m,Traced,546,201,137,65,268675586
5812980600,KCab-c_R,,KCab-c,Traced,351,149,88,36,231045106
5812980611,KCab-s_R,,KCab-s,Traced,483,201,114,66,177425358
5812980615,KCab-m_R,,KCab-m,Traced,606,204,135,52,306061498
5812980618,KCab-s_R,,KCab-s,Traced,573,215,179,71,309024922
5812980624,KCab-m_R,,KCab-m,Traced,588,205,165,61,284274933
5812980768,KCab-s_R,,KCab-s,Traced,411,233,133,80,168195899
5812980787,KCab-m_R,,KCab-m,Traced,530,217,156,73,305003465
5812980792,KCab-p_R,,KCab-p,Traced,667,280,219,93,374117772
5812980799,KCab-c_R,,KCab-c,Traced,390,139,108,42,112555269
5812980802,KCab-c_R,,KCab-c,Traced,479,173,118,53,167182338
5812980803,KCab-c_R,,KCab-c,Traced,379,162,126,51,128649128
5812980806,KCab-m_R,,KCab-m,Traced,508,187,116,45,286609551
5812980811,KCab-s_R,,KCab-s,Traced,540,213,137,71,295334622
5812980892,KCab-m_R,,KCab-m,Traced,582,170,139,44,269754110
5812980931,KCab-s_R,,KCab-s,Traced,673,279,208,109,312733936
5812980938,KCab-p_R,,KCab-p,Traced,693,270,231,95,399456127
5812980940,KCab-p_R,,KCab-p,Traced,655,260,179,77,352333297
5812980944,KCab-s_R,,KCab-s,Traced,596,234,181,83,368843154
5812980947,KCab-m_R,,KCab-m,Traced,631,225,164,71,215908051
5812980965,KCab-c_R,,KCab-c,Traced,447,159,99,40,223554810
5812981039,KCab-m_R,,KCab-m,Traced,463,182,81,48,160340916
5812981042,KCab-m_R,,KCab-m,Traced,561,190,129,58,164985697
5812981071,KCa'b'-m_R,,KCa'b'-m,Traced,672,225,7,1,385557469
5812981086,KCab-s_R,,KCab-s,Traced,618,242,163,86,291882351
5812981104,KCab-m_R,,KCab-m,Traced,568,223,143,48,310654765
5812981106,KCab-s_R,,KCab-s,Traced,626,227,154,68,317455168
5812981109,KCab-c_R,,KCab-c,Traced,464,164,128,51,156697689
5812981127,KCab-m_R,,KCab-m,Traced,509,179,107,46,262683533
5812981136,KCab-s_R,,KCab-s,Traced,510,194,169,67,288631157
5812981275,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,3,1,487373247
5812981308,KCa'b'-m_R,,KCa'b'-m,Traced,571,190,17,5,390005539
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,2,1,446538834
5812981379,KCab-s_R,,KCab-s,Traced,570,236,161,89,300101280
5812981390,KCab-m_R,,KCab-m,Traced,604,186,144,54,265941935
5812981607,KCab-s_R,,KCab-s,Traced,582,242,161,80,332526797
5812981618,KCab-s_R,,KCab-s,Traced,583,221,177,76,304556091
5812981619,KCab-m_R,,KCab-m,Traced,571,214,154,80,255006456
5812981643,KCab-p_R,,KCab-p,Traced,682,252,234,96,374726947
5812981654,KCab-c_R,,KCab-c,Traced,447,158,86,46,223473544
5812981667,KCab-m_R,,KCab-m,Traced,532,191,152,70,242650023
5812981669,KCab-m_R,,KCab-m,Traced,576,177,134,47,300413645
5812981670,KCab-s_R,,KCab-s,Traced,570,219,162,70,244223321
5812981671,KCab-m_R,,KCab-m,Traced,689,230,115,55,299441690
5812981673,KCab-s_R,,KCab-s,Traced,594,236,168,93,319135563
5812981676,KCab-s_R,,KCab-s,Traced,651,268,192,84,414677791
5812981679,KCab-s_R,,KCab-s,Traced,603,235,171,82,319617891
5812981680,KCab-p_R,,KCab-p,Traced,734,281,248,96,282267054
5812981690,KCab-m_R,,KCab-m,Traced,526,215,136,57,267943637
5812981796,KCa'b'-m_R,,KCa'b'-m,Traced,665,226,4,1,478708280
5812981816,KCa'b'-m_R,,KCa'b'-m,Traced,620,214,4,1,402147766
5812981853,KCab-m_R,,KCab-m,Traced,531,195,143,65,278837103
5812981943,KCab-s_R,,KCab-s,Traced,574,228,154,78,193842307
5812981944,KCab-s_R,,KCab-s,Traced,550,251,166,91,311706172
5812981950,KCab-m_R,,KCab-m,Traced,673,226,144,77,318313056
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,3,1,331043517
5812981965,KCab-c_R,,KCab-c,Traced,377,152,105,43,130098776
5812981970,KCab-c_R,,KCab-c,Traced,402,149,95,33,130244803
5812981971,KCab-s_R,,KCab-s,Traced,553,247,142,77,338455603
5812981978,KCa'b'-m_R,,KCa'b'-m,Traced,574,237,5,1,405213419
5812982012,KCab-m_R,,KCab-m,Traced,484,182,112,46,171953924
5812982086,KCa'b'-m_R,,KCa'b'-m,Traced,649,253,5,2,425938168
5812982162,KCab-m_R,,KCab-m,Traced,581,221,169,66,270322056
