id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,LAL(L) #post,LAL(L) #pre,#voxels
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,32,18,59,38,3343482793
5813058316,CRE043_b(ADM10)_L,,CRE043_b,Traced,872,195,33,1,18,9,390251982
5813058452,CRE106(PVM14)_L,,CRE106,Traced,456,414,9,1,25,37,486257855
5813060672,,,,Traced,375,601,10,4,35,94,491264022
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,211,143,14,8,3486100136
5813061262,,,,Traced,839,618,181,78,1,6,793227147
5813061538,MBON27(y5d)(PVM03)_L,,MBON27,Traced,5898,795,3315,4,153,40,1596324019
5813061541,FB4G_L,CRELALFB4_3,FB4G,Traced,3677,710,28,1,434,49,1329389740
5813062592,FB5V_L,CRELALFB5,FB5V,Traced,1120,267,2,,185,19,425597565
5813062838,CRE022_L,,CRE022,Traced,5859,1060,172,,204,151,2547121426
5813068769,CRE004_R,,CRE004,Traced,4808,1432,1,,153,126,4486456977
5813070070,CRE044(ADM10)_L,,CRE044,Traced,1089,145,41,,299,79,448221400
5813076043,FB5D_L,CRESMPFB5_1,FB5D,Traced,2573,551,5,,37,1,695440646
5813080769,CRE031_R,,CRE031,Traced,720,230,5,,23,23,681827294
5813082175,PAM12(y3)_L,,PAM12,Traced,694,134,481,108,31,1,167259973
5813082722,CRE021(ADM06)_L,aSP14e candidates,CRE021,Traced,2268,635,47,5,115,25,1084830460
5813082723,CRE006(ADM01)_L,,CRE006,Traced,847,482,2,,76,103,1064874120
5813083779,CRE022_R,,CRE022,Traced,8464,1155,21,,142,136,2658194530
5813083780,SMP385_R,,SMP385,Traced,6235,2678,4,,203,135,2659884367
5813088419,,,,Traced,830,166,51,1,62,49,345224462
5813088921,LAL175(PVM03)_L,,LAL175,Traced,1111,551,1,,161,56,807022585
5813089803,CRE043_c(ADM10)_L,,CRE043_c,Traced,968,207,25,,99,34,465274777
5813098223,CRE035_R,,CRE035,Traced,573,171,7,,4,4,458941924
5813105778,LAL100(AVM14)_L,,LAL100,Traced,971,815,2,,72,60,799850664
5813123042,CRE039_R,,CRE039,Traced,614,176,37,1,76,3,498065951
5813133444,,,,Traced,541,425,65,19,13,7,362433036
5901213819,CRE080(PDM13)_L,pMP6b candidates,CRE080,Traced,781,190,20,,34,11,935072554
