id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,FB #post,FB #pre,#voxels
1189891402,PFGs(PB10)_L8_C8,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,1643,285,22,4,1418,241,588763195
1193560469,FB3C_R,LALSMPFB3,FB3C,Traced,761,249,82,1,563,247,546908679
1194246820,FB2D_R,LALCREFB2_2,FB2D,Traced,3232,590,179,9,2863,568,1089666921
1195606601,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1159,385,4,9,991,332,454288161
1195999722,FC2B(FQ7)_C8_L,FB1d356CRE,FC2B,Traced,1827,190,5,1,1784,143,253119785
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,804,144,1,1,1472264855
1200027441,PFGs(PB10)_L9_C9,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,1455,259,14,5,1335,244,495589091
1200053009,PFL2(PB12b)_R5_C1,PB1-4FB1245LAL,PFL2,Traced,3032,399,73,209,2113,5,1532312771
1220800405,FB6M_R,WEDLALFB6,FB6M,Traced,1347,402,91,52,761,259,1362256529
1223640877,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,480,166,5,2,23,59,323395635
1224590555,FB3C_R,LALSMPFB3,FB3C,Traced,720,182,90,1,475,179,588548829
1224591253,FB3E_R,SMPLALFB3,FB3E,Traced,1034,262,53,,594,238,669798009
1224591262,FB2K_R,LALSMPFB2,FB2K,Traced,1169,137,512,,568,137,341742024
1224595273,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2359,1059,248,,1328,964,1211327177
1224595673,FB2B_b_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_b,Traced,1766,573,219,,1439,571,1072620872
1224941044,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2613,1170,202,4,1508,1105,1272001412
1225290240,FB4A_R,CRESMPFB4_1,FB4A,Traced,810,107,2,,579,107,285458779
1225290633,FB4C(NO2)_R,CRENO2FB4_1,FB4C,Traced,6802,976,117,12,2532,605,2367341468
1225640135,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1738,612,247,15,916,552,1746881001
1225946873,FC1E(FQ6)_C4_L,FB2CRE,FC1E,Traced,447,113,1,,424,84,289699257
1226296238,FB4E_R,CRELALFB4_1,FB4E,Traced,1065,143,68,,538,141,417030117
1255297788,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2256,831,126,,1850,822,1011197699
1257629175,FC2B(FQ7)_C1_L,FB1d356CRE,FC2B,Traced,2516,217,8,5,2452,162,468639703
1258686925,PFL3(PB12c)_L2_C4,PB1-7FB1245LAL,PFL3,Traced,2916,481,126,468,2285,12,1251526591
1259097611,PFR_a(PB11a)_L8_C8,PFR_a,PFR_a,Traced,1283,446,2,7,1155,378,342984622
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,92,177,7,3,1412316280
1259718093,ExR8(ring)_R,,ExR8,Traced,1863,475,41,90,2,1,1170924542
1287360108,FB2K_R,LALSMPFB2,FB2K,Traced,1166,173,523,2,563,171,381361054
1289359184,FB4M(PPM3-FB3/4-NO-DAN)_R,CRENO2FB4_2,FB4M,Traced,4578,2519,565,14,2100,2315,2446970593
1291142212,FC2B(FQ7)_C8_L,FB1d356CRE,FC2B,Traced,1195,159,8,4,1146,112,193070600
1292423935,PFL1(PB12a)_L3_C4,PFLC,PFL1,Traced,1166,283,60,254,478,2,1202334420
1381484065,PFL2(PB12b)_L2_C6,PB1-4FB1245LAL,PFL2,Traced,2912,435,78,234,2226,8,1437029317
1382195959,FC1B(FQ6)_C7_L,FB2CRE,FC1B,Traced,716,148,2,,705,143,224759500
1414366899,PVLP093(PDL09)_L,,PVLP093,Traced,892,1279,4,,,1,1479212211
1417573898,FB3D_R,LALCREFB3,FB3D,Traced,1085,173,258,,679,171,394371140
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,2,131,64,6190229391
1570111396,FC2B(FQ7)_C9_L,FB1d356CRE,FC2B,Traced,1118,147,4,4,1070,103,291314908
1600079770,PFNv(PB05)_L9_C9,PFNv,PFNv,Traced,864,336,3,3,106,150,532651939
5812980666,FB5K_R,CREFB5,FB5K,Traced,4136,627,12,3,2308,450,1601760267
5812983538,FB4E_R,CRELALFB4_1,FB4E,Traced,1010,149,138,,456,149,393742441
5812983846,FB4P_b_R,CRESMPFB4_4,FB4P_b,Traced,1494,734,16,2,790,633,1050718993
5812983883,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1949,422,214,2,1110,416,933273354
5813011125,FB2L_R,SMPCREFB2_2,FB2L,Traced,1696,355,1,,654,292,930434949
5813012006,EPG(PB08)_L7,EPG,EPG,Traced,3883,539,142,82,11,2,1075949177
5813014505,PFNv(PB05)_L7_C7,PFNv,PFNv,Traced,1009,326,10,4,89,128,508396228
5813021247,FB5E_R,CRESMPFB5_2,FB5E,Traced,2692,621,51,1,1592,560,990333243
5813027016,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6508,1720,421,1,3007,1327,2846693400
5813041180,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1595,546,426,31,772,482,1501021625
5813041365,PFL1(PB12a)_L4_C5,PFLC,PFL1,Traced,1254,313,47,275,416,5,1163111797
5813044670,PFNv(PB05)_L8_C7,PFNv,PFNv,Traced,853,335,8,3,88,129,481368357
5813045216,FB3C_R,LALSMPFB3,FB3C,Traced,795,235,108,2,566,230,515092302
5813047763,FB5AB_R,SIPCREFB5d,FB5AB,Traced,6973,1035,24,,2118,987,2699423831
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,537,22,1051,891,1798572771
5813055999,FC2A(FQ7)_C2_L,FB1-5CRE,FC2A,Traced,2801,271,2,1,2756,236,513982696
5813057464,FC2B(FQ7)_C7_L,FB1d356CRE,FC2B,Traced,1934,189,7,4,1884,144,362028533
5813057579,AVLP538_R,,AVLP538,Traced,19336,7502,75,33,,1,8806682576
