id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,LAL(R) #post,LAL(R) #pre,#voxels
1481336455,(AVM09)_L,,,Traced,210,63,134,1,74,58,148722586
1486123650,LAL164(PVM03)_L,VeL-CLVe(c)1,LAL164,Traced,648,529,334,120,199,248,606608242
1498374987,LAL090(AVM09)_L,L-Lic(c),LAL090,Traced,103,116,59,1,36,72,197256325
1498379078,(AVM09)_L,,,Traced,114,81,1,1,1,2,188298976
1498379099,LAL090(AVM09)_L,L-Lic(c),LAL090,Traced,79,91,22,,49,62,170671777
1498379104,,,,Traced,438,170,233,,82,54,306289022
1498379106,,,,Traced,298,162,221,,30,51,304880697
1498379140,LAL090(AVM09)_L,L-Lic(c),LAL090,Traced,85,96,31,,45,61,159937561
1498720166,,,,Traced,409,134,181,,48,21,248449918
1499065388,LAL090(AVM09)_L,L-Lic(c),LAL090,Traced,115,74,54,,50,55,167556814
1499065406,(AVM09)_L,,,Traced,95,103,24,1,47,69,177706345
1500092947,(AVM09)_L,,,Traced,66,88,10,,36,53,140041796
1500092983,(AVM09)_L,,,Traced,68,99,10,,43,64,169090909
1500092995,(AVM09)_L,,,Traced,62,91,8,,39,71,171722201
1500429718,LAL164_R,VeL-CLVe(c)1,LAL164,Traced,1610,304,47,68,1312,163,769872799
1504207129,LAL199_R,,LAL199,Traced,458,471,32,46,148,293,987660334
1509966560,,,,Traced,323,126,188,12,123,114,250929608
1509966789,,,,Traced,163,146,44,47,119,99,126243714
1510303177,LAL087(AVM09)_L,L-L(c)1,LAL087,Traced,168,115,1,,163,107,189848740
1510308047,LAL088_R,,LAL088,Traced,882,113,119,84,629,15,412076725
1510308226,LAL091_R,,LAL091,Traced,613,81,76,72,468,3,264174551
1510311956,LAL121(AVM20)_L,CL-L(c)2,LAL121,Traced,1520,823,1299,2,200,821,1310371886
1510312346,LAL086(AVM09)_L,AoL-L(c),LAL086,Traced,204,115,35,,162,110,181320126
1510315982,LAL196(PVM09)_L,,LAL196,Traced,615,317,120,19,452,298,392748514
1510316567,LAL090_R,L-Lic(c),LAL090,Traced,689,62,20,56,590,1,362907232
1510648834,LAL124(AVM20)_L,L-L(c)2,LAL124,Traced,1777,1605,127,9,1606,1582,1158599186
1510648988,LAL086(AVM09)_L,AoL-L(c),LAL086,Traced,146,140,26,,118,134,197585470
