id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
847293869,KCab-s_R,,KCab-s,Traced,577,243,199,106,4,1,297735426
861285145,KCab-p_R,,KCab-p,Traced,735,266,249,96,6,2,376842335
861634934,KCa'b'-m_R,,KCa'b'-m,Traced,655,258,1,1,162,88,433333685
861665641,MBON12(y2a'1)_R,,MBON12,Traced,8766,1156,8,1,3287,23,1813984393
877659583,KCab-m_R,,KCab-m,Traced,509,214,216,96,1,1,266281376
878652627,KCa'b'-m_R,,KCa'b'-m,Traced,690,252,3,2,160,79,347955774
880383629,KCg-m_R,,KCg-m,Traced,793,241,12,4,1,1,345275323
893347461,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,261,1,,167,104,446443832
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,10,,4979,43,2722993954
923700162,KCa'b'-m_R,,KCa'b'-m,Traced,660,241,7,3,189,88,409554421
