id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
5813021645,KCa'b'-m_R,,KCa'b'-m,Traced,672,235,1,,152,65,394108433
5813021766,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,649,240,2,,178,94,394506432
5813021772,KCa'b'-m_R,,KCa'b'-m,Traced,712,230,2,,143,69,411808930
5813021788,KCab-p_R,,KCab-p,Traced,713,247,261,95,2,1,417804388
5813021799,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,703,254,1,1,194,100,454399393
5813021812,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,594,252,1,,153,83,464717750
5813021832,KCa'b'-m_R,,KCa'b'-m,Traced,655,255,1,,166,98,405326877
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,3,3,52,1,2864745122
5813032943,KCab-p_R,,KCab-p,Traced,734,252,263,78,8,2,339903729
5813033127,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,616,243,2,,161,89,486240013
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,10,,134,59,427955175
5813047221,KCa'b'-m_R,,KCa'b'-m,Traced,631,224,18,4,148,59,437993906
5813055914,KCab-s_R,,KCab-s,Traced,650,235,162,72,3,2,322349102
5813056372,KCa'b'-m_R,,KCa'b'-m,Traced,651,228,4,,172,83,396399147
5813057187,KCab-s_R,,KCab-s,Traced,610,239,164,85,5,1,318293689
5813060643,KCab-p_R,,KCab-p,Traced,681,264,243,87,1,1,369871738
5813060774,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,685,266,6,2,230,108,436369804
5813062631,KCg-m_R,,KCg-m,Traced,758,263,1,,3,3,374158925
5813063140,KCa'b'-m_R,,KCa'b'-m,Traced,581,199,7,1,125,55,391939830
5813063229,KCab-s_R,,KCab-s,Traced,685,277,228,116,,2,347967311
5813067858,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,593,225,4,3,130,76,440340877
5813077589,KCab-p_R,,KCab-p,Traced,726,262,240,85,2,1,394045820
5813078499,KCa'b'-m_R,,KCa'b'-m,Traced,634,218,8,3,195,93,373028028
5813091744,KCab-p_R,,KCab-p,Traced,635,285,174,77,3,1,392247819
5813092931,KCab-p_R,,KCab-p,Traced,767,244,259,82,10,5,375350336
5813095472,KCa'b'-m_R,,KCa'b'-m,Traced,658,235,5,,161,79,412868274
5813096260,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,561,238,1,,136,83,434717676
5813105172,DPM_R,,DPM,Traced,77269,17628,8630,1738,9585,2307,15191654896
5813114700,KCab-p_R,,KCab-p,Traced,746,234,261,80,7,4,347875742
5813114971,KCab-p_R,,KCab-p,Traced,653,258,186,79,35,13,368295685
5901205770,KCab-s_R,,KCab-s,Traced,586,238,175,76,1,1,309316800
