id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,#voxels
885257938,FS1A(FQ9)_C6_L,FB2-6SMPSMP,FS1A,Traced,904,104,797,1,334594842
885262043,FB7I_L,SMPSIPFB76,FB7I,Traced,1189,362,1058,346,466143991
885262087,FB7I_R,SMPSIPFB76,FB7I,Traced,1858,487,1409,427,929300073
885262090,FC2C(FQ7)_C5_L,FB1d367CRE,FC2C,Traced,982,142,932,104,358518661
885262118,FC2C(FQ7)_C6_L,FB1d367CRE,FC2C,Traced,1065,147,1025,101,228163513
885262169,FB8B_L,PLPSLPFB8,FB8B,Traced,764,290,680,274,876701489
885262237,vDeltaC_C5,FB1D0FB7_2,vDeltaC,Traced,613,115,612,115,286151094
885262311,FB7L_R,SMPSIPFB7_4,FB7L,Traced,1999,462,1274,460,1127225091
885266374,,,,Orphan,37,16,37,16,21163242
885594701,vDeltaC_C5,FB1D0FB7_2,vDeltaC,Traced,489,104,481,104,237816171
885598772,FS4A(FQ12)_C5_R,,FS4A,Traced,109,21,90,2,108797440
885598938,FB1J_R,SLPSIPFB178,FB1J,Traced,1519,333,1274,329,963953156
885599043,FB8H_R,SMPSLPFB8,FB8H,Traced,1305,379,669,375,965347966
885599075,vDeltaB_C4,FB1D0FB7_1,vDeltaB,Traced,336,84,324,84,208180328
885599178,vDeltaB_C5,FB1D0FB7_1,vDeltaB,Traced,329,81,326,81,214934284
885599260,FB7J_R,FB78,FB7J,Traced,2064,215,2029,214,717713948
885599283,FS4B(FQ12)_C5_R,FB128SMP,FS4B,Traced,293,40,265,1,158809372
885602804,FB9A_L,SLPFB9_1,FB9A,Traced,193,57,181,55,133694021
885603106,FB7E_L,SMPSIPFB7_2,FB7E,Traced,862,222,475,174,415314044
885603135,,,,Assign,11,1,11,1,221463
885603391,vDeltaA_b_C6,FB1D0FB8,vDeltaA_b,Traced,186,65,178,65,211310065
885603527,vDeltaB_C5,FB1D0FB7_1,vDeltaB,Traced,424,89,421,89,234827377
885603529,vDeltaB_C5,FB1D0FB7_1,vDeltaB,Traced,272,82,272,82,211742877
885607728,FB8G_L,SMPSIPFB8_2,FB8G,Traced,932,305,801,280,418817427
