id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(L) #post,aL(L) #pre,a'L(L) #post,a'L(L) #pre,#voxels
706296367,,,,Traced,42,15,8,3,34,12,10747465
706633128,,,,Traced,52,36,6,5,16,6,27955134
736640236,,,,Traced,61,32,3,3,51,28,28971564
736640659,,,,Traced,92,43,4,2,88,41,32056972
736640719,,,,Traced,87,41,3,,74,36,32727847
736981590,,,,Traced,350,103,9,3,331,97,60829341
736985676,,,,Traced,122,49,40,14,76,33,18274959
737330912,,,,Traced,48,29,5,1,43,28,18025330
737330976,,,,Traced,14,5,9,3,5,2,4895547
737331009,,,,Traced,23,16,3,3,20,13,9634468
737331042,,,,Traced,36,16,6,3,30,13,11713200
737331074,,,,Traced,27,18,1,1,24,16,13980592
737331175,,,,Traced,30,21,2,4,28,17,10967599
737672128,,,,Traced,22,9,1,,19,9,14165086
767675337,,,,Traced,78,34,7,3,71,30,26700330
768016815,,,,Traced,83,37,1,,80,35,28853139
768362048,,,,Traced,26,11,2,,24,11,8680352
768365745,,,,Traced,36,22,1,1,35,21,14328979
768365752,,,,Traced,17,13,6,4,11,9,9821663
768365919,,,,Traced,28,17,1,,27,17,10080389
768366147,,,,Traced,13,9,3,1,10,8,5387518
768366154,,,,Traced,20,13,1,2,19,11,7031018
768706852,,,,Traced,27,14,1,,26,14,12216637
768706857,,,,Traced,45,18,2,2,43,16,9795365
768707119,,,,Traced,22,9,3,,19,9,4938522
799392124,,,,Traced,67,31,2,2,57,27,28411401
799392280,,,,Traced,26,11,2,1,24,10,7717244
799392300,,,,Traced,60,32,6,2,54,30,21340204
799396495,,,,Traced,82,45,2,,80,45,30506154
799733842,,,,Traced,56,20,3,,45,19,26976700
799741691,,,,Traced,16,2,3,1,13,1,1736497
829749304,,,,Traced,85,26,9,2,67,21,29725251
830435769,,,,Traced,19,10,3,,16,10,4857780
830435786,,,,Traced,8,5,2,1,6,4,2885023
830435894,,,,Traced,11,3,6,1,5,2,2016759
830768222,,,,Traced,58,28,7,1,44,22,23404979
831113316,,,,Traced,51,28,2,1,25,14,25931501
831114007,,,,Traced,48,29,4,,29,20,23307647
861121201,,,,Traced,87,22,20,3,66,19,11591899
861470823,,,,Traced,15,6,1,,14,6,3061220
861807543,,,,Traced,51,28,4,1,47,27,23419685
893524292,,,,Traced,42,24,3,2,17,12,27299355
923195424,,,,Traced,10,1,9,,1,1,934505
1173866149,,,,Traced,400,200,5,3,5,1,142748783
5812979963,,,,Traced,376,23,351,20,23,2,35420944
5812980429,,,,Traced,67,27,66,25,1,2,21761923
5812981081,,,,Traced,544,84,24,5,518,77,93139223
5812981283,,,,Traced,3079,957,81,,2077,3,1583145889
5812981576,,,,Traced,68,45,3,1,60,39,36891464
5812981584,,,,Traced,111,53,6,4,103,49,39883237
5812981585,,,,Traced,75,38,6,1,65,33,39740742
5812981832,,,,Traced,66,36,5,2,61,34,28774162
5812981833,,,,Traced,65,38,4,4,59,33,30416057
5812982357,,,,Traced,38,16,2,,31,16,19682001
5812982359,,,,Traced,44,16,2,,42,16,15061090
5812982361,,,,Traced,50,18,4,,46,18,19601169
5812982362,,,,Traced,41,29,3,,30,23,19924133
5813019513,PPL105(a'2a2)_R,,PPL105,Traced,7639,1726,565,115,82,32,2064191600
5813019607,PPL106(a3)(PDL05)_L,,PPL106,Traced,6476,1564,2070,464,3,4,1814973075
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,3,1,30,15,869209965
5813032815,,,,Traced,107,39,3,3,104,36,34518245
5813046995,,,,Traced,79,27,75,26,4,1,17456637
5813056349,,,,Traced,36,17,4,1,29,16,16227147
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,289,106,16,12,2038784377
5813063417,,,,Traced,56,21,53,19,,1,13122943
5813069689,,,,Traced,48,18,3,,45,18,17835583
5813077591,,,,Traced,64,35,12,4,44,25,31865849
5901199769,,,,Traced,56,18,47,15,8,3,15795518
