id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,aL(L) #post,aL(L) #pre,#voxels
581815284,,,,Traced,40,22,22,13,1,1,20637660
581815473,,,,Traced,54,28,38,22,7,1,27094384
581815589,,,,Traced,75,28,60,23,3,2,24112346
611477412,,,,Traced,59,38,51,33,3,3,32231482
611827043,,,,Traced,271,42,252,41,6,1,42011879
612168068,,,,Traced,85,49,84,43,1,6,32254462
612509328,,,,Traced,10,2,5,1,5,1,3928703
612850115,,,,Traced,47,25,39,23,3,2,18885995
612850256,,,,Traced,46,23,33,19,1,1,15921901
612850293,,,,Traced,35,24,35,23,,1,16637096
613191341,,,,Traced,46,26,6,3,,1,12431259
613191410,,,,Traced,34,15,28,11,1,1,18129553
642516892,PPL105(a'2a2)(PDL05)_L,,PPL105,Traced,4363,1434,372,121,438,96,1095641228
642862339,,,,Traced,61,32,58,31,3,1,25272568
643199007,,,,Traced,27,1,9,,18,1,804460
643885096,,,,Traced,49,19,49,16,,3,16767140
643885098,,,,Traced,38,16,37,15,,1,14466356
643885213,,,,Traced,57,21,57,20,,1,17118369
643885386,,,,Traced,73,38,68,34,5,4,27976972
643885450,,,,Traced,34,22,33,21,1,1,13658265
644226182,,,,Traced,48,26,18,9,3,4,21048631
644226236,,,,Traced,28,20,18,13,,1,21313882
644226341,,,,Traced,47,19,25,13,4,1,18832030
673892838,,,,Traced,78,39,65,30,13,9,31069427
673892990,,,,Traced,93,46,87,43,3,2,33655280
673893063,,,,Traced,29,16,22,13,7,3,11042181
673896864,,,,Traced,9,3,9,2,,1,908839
674229949,,,,Traced,66,40,56,32,8,8,30174102
674570925,,,,Traced,77,35,71,32,2,1,31633814
674919979,,,,Traced,37,20,37,19,,1,16403258
674920005,,,,Traced,52,32,50,31,2,1,16899825
674920019,,,,Traced,33,18,30,15,3,3,14475357
674920180,,,,Traced,41,25,39,24,2,1,16686849
675261072,,,,Traced,34,17,27,16,2,1,15154240
675261105,,,,Traced,29,21,27,19,,1,15425714
675261180,,,,Traced,51,7,43,6,7,1,7099439
704927430,,,,Traced,95,40,82,36,10,3,33832031
704931757,,,,Traced,27,3,4,,22,3,8251902
704932037,,,,Traced,601,161,69,28,520,129,84296659
705264340,,,,Traced,63,38,59,35,2,1,32128978
705605536,,,,Traced,84,42,81,41,3,1,27957218
706287739,,,,Traced,45,35,34,26,1,2,32124162
706288050,,,,Traced,45,29,33,18,5,5,23382946
706295942,,,,Traced,56,28,55,27,1,1,19955025
706295944,,,,Traced,23,17,23,15,,2,13653270
706296108,,,,Traced,18,7,7,3,11,4,6315684
706296367,,,,Traced,42,15,34,12,8,3,10747465
706633128,,,,Traced,52,36,16,6,6,5,27955134
736303469,,,,Traced,68,1,4,,53,1,11071706
736640236,,,,Traced,61,32,51,28,3,3,28971564
736640659,,,,Traced,92,43,88,41,4,2,32056972
736981590,,,,Traced,350,103,331,97,9,3,60829341
736985676,,,,Traced,122,49,76,33,40,14,18274959
737330912,,,,Traced,48,29,43,28,5,1,18025330
737330976,,,,Traced,14,5,5,2,9,3,4895547
737331009,,,,Traced,23,16,20,13,3,3,9634468
737331042,,,,Traced,36,16,30,13,6,3,11713200
737331074,,,,Traced,27,18,24,16,1,1,13980592
737331175,,,,Traced,30,21,28,17,2,4,10967599
767675337,,,,Traced,78,34,71,30,7,3,26700330
767679802,,,,Traced,150,4,1,,147,4,11590501
768365745,,,,Traced,36,22,35,21,1,1,14328979
768365752,,,,Traced,17,13,11,9,6,4,9821663
768366147,,,,Traced,13,9,10,8,3,1,5387518
768366154,,,,Traced,20,13,19,11,1,2,7031018
768706857,,,,Traced,45,18,43,16,2,2,9795365
768707101,,,,Traced,28,20,28,19,,1,10273727
799392124,,,,Traced,67,31,57,27,2,2,28411401
799392280,,,,Traced,26,11,24,10,2,1,7717244
799392300,,,,Traced,60,32,54,30,6,2,21340204
799741668,,,,Traced,19,5,19,4,,1,4161686
799741691,,,,Traced,16,2,13,1,3,1,1736497
829749304,,,,Traced,85,26,67,21,9,2,29725251
830435786,,,,Traced,8,5,6,4,2,1,2885023
830435874,,,,Traced,21,13,1,,19,13,8198121
830435894,,,,Traced,11,3,5,2,6,1,2016759
830768222,,,,Traced,58,28,44,22,7,1,23404979
831113316,,,,Traced,51,28,25,14,2,1,25931501
861121201,,,,Traced,87,22,66,19,20,3,11591899
861807543,,,,Traced,51,28,47,27,4,1,23419685
893524292,,,,Traced,42,24,17,12,3,2,27299355
1015622418,,,,Traced,809,407,3,,3,2,235779801
1173866149,,,,Traced,400,200,5,1,5,3,142748783
5812979963,,,,Traced,376,23,23,2,351,20,35420944
5812980429,,,,Traced,67,27,1,2,66,25,21761923
5812981081,,,,Traced,544,84,518,77,24,5,93139223
5812981576,,,,Traced,68,45,60,39,3,1,36891464
