id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,#voxels
613079053,MBON04(B'2mp_bilateral)_L,,MBON04,Traced,17615,1600,2201,6,3379363451
613083298,CRE030_a_L,,CRE030_a,Traced,1067,220,7,1,748302593
613083359,CRE029_c_L,,CRE029_c,Traced,1255,301,7,7,760445981
613083375,CRE032_L,,CRE032,Traced,918,233,339,17,653637060
613398716,PAM01_b(y5)_R,,PAM01_b,Traced,757,143,389,112,287310191
613420343,SMP056_R,,SMP056,Traced,2563,469,213,1,1649344502
613835634,PAM01_b(y5)_L,,PAM01_b,Traced,393,131,54,23,212670007
613847777,PAM01_a(y5)_L,,PAM01_a,Traced,1284,133,310,36,321942494
630381893,KCg-m_R,,KCg-m,Traced,779,252,474,209,354818635
630722941,KCg-m_R,,KCg-m,Traced,748,266,464,224,364955968
630727056,KCg-m_R,,KCg-m,Traced,836,257,506,204,368085380
630731599,KCg-t_R,,KCg-t,Traced,649,228,340,165,307105674
630748479,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,601,250,28,19,456227034
631051057,KCg-m_R,,KCg-m,Traced,793,250,462,218,386158146
631055506,KCg-m_R,,KCg-m,Traced,866,259,508,213,396152346
631064055,KCg-m_R,,KCg-m,Traced,922,299,565,247,404675090
631396256,KCg-m_R,,KCg-m,Traced,711,219,423,164,345378163
631396532,KCg-m_R,,KCg-m,Traced,782,255,444,204,371390154
631400190,KCg-m_R,,KCg-m,Traced,721,227,468,198,327866576
631400288,KCg-d_R,,KCg-d,Traced,596,230,435,190,368051780
631400598,KCg-m_R,,KCg-m,Traced,816,250,520,203,353273366
631400622,KCg-m_R,,KCg-m,Traced,810,247,476,212,351917532
631400693,KCg-m_R,,KCg-m,Traced,795,250,445,188,368860011
631422121,KCg-m_R,,KCg-m,Traced,839,264,515,217,369604905
631422224,KCg-m_R,,KCg-m,Traced,800,258,509,222,354259828
631733127,KCg-m_R,,KCg-m,Traced,725,237,466,210,342486630
631737164,KCg-m_R,,KCg-m,Traced,786,222,509,196,356895450
631737380,KCg-m_R,,KCg-m,Traced,809,259,489,217,378893109
631741308,KCg-d_R,,KCg-d,Traced,591,196,351,155,323777279
631741483,KCg-m_R,,KCg-m,Traced,809,242,492,201,345430960
632048075,KCg-m_R,,KCg-m,Traced,726,237,465,205,318248523
632069728,KCg-m_R,,KCg-m,Traced,739,228,484,191,351703812
632069757,KCg-m_R,,KCg-m,Traced,794,241,508,214,349095775
632069851,KCg-m_R,,KCg-m,Traced,557,225,302,162,334065450
632082635,KCg-m_R,,KCg-m,Traced,755,242,429,205,336745964
632086737,KCg-d_R,,KCg-d,Traced,543,215,375,171,328980177
632091116,KCg-d_R,,KCg-d,Traced,578,225,436,205,361932696
632397510,KCg-m_R,,KCg-m,Traced,825,261,522,213,389975733
632397750,KCg-m_R,,KCg-m,Traced,858,278,501,227,403882201
632397780,KCg-m_R,,KCg-m,Traced,691,222,421,188,336642111
632397786,KCg-m_R,,KCg-m,Traced,683,191,384,155,325806035
632397798,KCg-m_R,,KCg-m,Traced,690,216,444,180,289471031
632402333,KCg-m_R,,KCg-m,Traced,800,256,497,216,387083526
632734572,KCg-m_R,,KCg-m,Traced,747,249,472,204,361494772
632764978,KCg-d_R,,KCg-d,Traced,516,201,380,184,328302445
632808044,KCg-m_R,,KCg-m,Traced,821,239,439,186,391614106
633144545,KCg-m_R,,KCg-m,Traced,723,227,441,175,339522438
633148704,KCg-m_R,,KCg-m,Traced,848,237,508,199,360958036
633148716,KCg-m_R,,KCg-m,Traced,869,253,486,214,387890610
633148859,KCg-m_R,,KCg-m,Traced,828,262,449,217,364698402
633149039,KCg-m_R,,KCg-m,Traced,743,234,451,198,335535959
633149202,KCg-m_R,,KCg-m,Traced,765,229,452,180,391427293
633498748,KCg-m_R,,KCg-m,Traced,717,239,421,181,378644333
635890732,SMP573_R,,SMP573,Traced,421,164,7,1,503844007
639585968,LHCENT11_R,,LHCENT11,Traced,3537,1881,5,2,2934178330
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,3,2,424988147
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,100,2,2023774583
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,7289,42,4367730421
643142863,PAM01_a(y5)_L,,PAM01_a,Traced,1591,156,362,52,328254208
643362770,KCab-s_R,,KCab-s,Traced,596,243,2,3,320018612
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,61,12,299806071
643794320,CRE029_a_R,,CRE029_a,Traced,1062,344,10,23,777368664
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,37,1,795100404
644148647,CRE031_R,,CRE031,Traced,756,196,15,5,583473753
644148661,CRE036_R,,CRE036,Traced,338,130,4,1,458497013
644148705,CRE036_R,,CRE036,Traced,290,135,8,1,468734043
644152981,CRE029_b_R,,CRE029_b,Traced,611,240,4,1,592980696
644417074,PAM06_b(B'2m)_R,,PAM06_b,Traced,1138,120,92,8,315506243
644450565,CRE005_R,,CRE005,Traced,1857,858,7,3,1442612455
644870768,PAM01_a(y5)_L,,PAM01_a,Traced,935,143,157,33,315394433
645224664,PAM01_a(y5)_L,,PAM01_a,Traced,1162,147,315,48,255879136
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,3,3,388134264
661084049,KCg-m_R,,KCg-m,Traced,813,252,507,204,348860870
661395129,KCg-m_R,,KCg-m,Traced,792,262,483,219,253509966
661399477,KCg-m_R,,KCg-m,Traced,730,211,433,178,314265132
661408056,KCg-m_R,,KCg-m,Traced,708,226,426,184,259052747
