id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,#voxels
5813096699,PAM15_a(y5B'2a)_R,,PAM15_a,Traced,1305,188,86,17,309670626
5813096713,,,,Traced,376,163,361,147,122988873
5813098776,PAM02(B'2a)_R,,PAM02,Traced,1545,215,346,51,340231907
5813100896,PAM12(y3)_R,,PAM12,Traced,1041,202,11,3,354860104
5813101172,,,,Assign,12,1,12,1,1750905
5813126042,,,,Traced,165,108,2,1,97518482
5813127030,PAM06_a(B'2m)_R,,PAM06_a,Traced,1411,387,280,119,487007634
5813133407,,,,Traced,293,112,292,111,92259119
5901193007,,,,Traced,126,56,1,1,31105317
5901196617,,,,Traced,357,147,356,146,101985150
5901198547,,,,Traced,396,39,388,39,44557764
5901200337,,,,Traced,228,89,184,70,90022580
5901205545,PAM05(B'2p)_L,,PAM05,Traced,649,278,342,156,260118145
5901209088,,,,Traced,321,149,321,148,102161154
5901209190,,,,Traced,336,152,323,140,110532276
5901209441,,,,Assign,1,2,1,2,320118
5901209758,,,,Traced,444,90,441,90,51379517
5901210064,APL fragment?,,,Traced,1192,151,1184,151,188866006
5901215939,,,,Traced,462,181,4,1,99001524
5901221380,,,,Assign,10,1,8,1,678985
5901231324,,,,Traced,306,75,4,1,35383242
7112613184,,,,Orphan,269,38,268,38,28722924
7112614701,,,,Orphan,153,37,151,37,21918904
7112614799,,,,Traced,217,69,7,2,60208868
7112625241,,,,Assign,38,13,38,13,8371381
7112625417,,,,Assign,95,36,95,36,14817289
7112625418,,,,Assign,19,1,19,1,452041
7112625445,,,,Assign,90,14,90,14,8599955
7112626101,,,,Assign,7,2,7,2,644741
