id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,NO #post,NO #pre,#voxels
1566333075,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,202,49,17,25,129,24,141172075
1566644645,PFNa(PB03)_R8_C3,PFNa,PFNa,Traced,701,145,57,96,332,48,391422300
1567020107,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,158,31,33,19,92,11,109321887
1567028669,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,150,51,27,28,113,23,138155182
1567382512,PFNp_a(PB01a)_L8_C7,PFNp_a,PFNp_a,Traced,119,39,16,22,96,17,98135066
1567728102,PFNp_a(PB01a)_L8_C7,PFNp_a,PFNp_a,Traced,108,42,17,22,84,19,102928213
1568047319,PFNm_a(PB02a)_R3_C8,PFNm_a,PFNm_a,Traced,856,139,127,95,500,44,296164753
1597683387,PFNm_a(PB02a)_R8_C3,PFNm_a,PFNm_a,Traced,565,102,55,55,374,47,262180032
1598067695,PFNp_a(PB01a)_R3_C8,PFNp_a,PFNp_a,Traced,180,51,30,30,98,21,152877171
1598382541,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,198,63,27,33,146,30,140325507
1599069164,PFNm_a(PB02a)_L8_C7,PFNm_a,PFNm_a,Traced,488,107,53,58,344,49,240044244
1599410380,PFNp_c(PB01c)_L8_C7,PFNp_c,PFNp_c,Traced,422,100,35,60,306,40,214370701
1599431888,PFNp_c(PB01c)_R3_C8,PFNp_c,PFNp_c,Traced,752,139,47,76,529,63,341634908
1599436552,PFNp_c(PB01c)_R3_C8,PFNp_c,PFNp_c,Traced,628,115,38,68,403,45,328505069
1599747200,PFNp_c(PB01c)_L9_C9,PFNp_c,PFNp_c,Traced,479,96,43,56,317,38,210163048
1599772916,PFNp_b(PB01b)_R3_C8,PFNp_b,PFNp_b,Traced,246,58,45,38,110,20,165987725
1599773239,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,150,61,31,32,97,27,122231439
1600079770,PFNv(PB05)_L9_C9,PFNv,PFNv,Traced,864,336,106,150,516,137,532651939
1600083889,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1513,328,5,9,524,97,535483990
1601771527,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1585,330,2,11,383,79,695171696
1628743785,PFNp_a(PB01a)_R3_C8,PFNp_a,PFNp_a,Traced,252,64,28,38,112,24,167605436
1628744095,PFNp_e(PB01a)_R3_C8,PFNp_e,PFNp_e,Traced,466,97,34,47,266,48,280875421
