id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,gL(R) #post,gL(R) #pre,#voxels
5812982437,KCg-m_R,,KCg-m,Traced,765,235,11,2,481,204,353302366
5812982442,KCg-m_R,,KCg-m,Traced,828,258,7,6,501,200,382934901
5812982514,KCab-s_R,,KCab-s,Traced,589,237,1,1,3,1,363758686
5812982577,KCg-m_R,,KCg-m,Traced,832,272,4,2,571,230,395572382
5812982579,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,492,173,37,22,30,20,410959307
5812982620,KCg-m_R,,KCg-m,Traced,757,257,2,3,469,211,398451875
5812982694,KCa'b'-m_R,,KCa'b'-m,Traced,684,207,180,74,4,4,430418695
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,168,67,8,4,418473741
5812982780,KCab-p_R,,KCab-p,Traced,700,235,12,1,3,1,384605451
5812982823,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,212,113,65,16,13,396676348
5812982999,KCg-m_R,,KCg-m,Traced,847,245,2,,487,192,381722085
5812983152,KCg-m_R,,KCg-m,Traced,829,222,5,1,497,176,360458277
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,141,73,8,4,386511183
5812983451,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,262,200,114,10,4,436809854
5812983544,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,675,237,153,88,17,8,426100093
5812983569,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,559,251,161,86,7,4,392759583
5812983571,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,579,248,114,66,23,11,294590390
5812983645,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,257,143,82,9,8,449532868
5812983646,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,595,256,131,62,15,12,453811862
5812983673,KCg-m_R,,KCg-m,Traced,776,211,7,4,495,170,348369142
5812983866,KCa'b'-m_R,,KCa'b'-m,Traced,596,208,179,75,6,1,415440030
5812983871,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,209,168,77,10,5,408605251
5812983899,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,641,216,169,75,11,6,347569779
5812983903,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,554,225,123,88,20,15,444087728
5812984045,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,679,240,177,94,11,4,439989491
5813019850,CRE048_R,,CRE048,Traced,5674,1107,27,5,483,2,2306300526
5813020041,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,613,209,124,66,26,10,434014408
5813020061,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,278,155,80,17,13,472995790
5813020271,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,710,232,213,99,3,2,452528827
5813021174,KCa'b'-m_R,,KCa'b'-m,Traced,605,262,167,91,4,3,441153613
5813021736,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,605,219,187,86,12,2,454869357
5813021748,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,195,162,80,3,1,447453187
5813021805,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,267,163,92,7,7,478993126
5813021806,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,627,237,141,79,3,2,475435410
5813021808,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,591,274,137,88,14,5,455112693
5813021809,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,276,174,91,17,9,467946092
