id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,aL(R) #post,aL(R) #pre,#voxels
642335553,KCa'b'-m_R,,KCa'b'-m,Traced,722,286,157,85,14,9,440563976
642516892,PPL105(a'2a2)(PDL05)_L,,PPL105,Traced,4363,1434,693,291,2497,816,1095641228
642680826,KCab-p_R,,KCab-p,Traced,670,262,4,2,191,85,341818524
642680969,KCab-p_R,,KCab-p,Traced,699,264,10,5,220,84,398461486
643363111,KCab-s_R,,KCab-s,Traced,619,253,2,2,232,119,340653450
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,136,66,18,3,388134264
661407917,KCa'b'-m_R,,KCa'b'-m,Traced,648,243,158,84,14,7,368237390
662409505,KCa'b'-m_R,,KCa'b'-m,Traced,590,221,102,47,6,6,409839983
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,147,91,4,3,426186749
663134970,KCg-m_R,,KCg-m,Traced,784,259,9,2,1,1,392525010
664511977,KCg-d_R,,KCg-d,Traced,1251,454,20,10,5,1,629975750
671005363,SMP207_R,,SMP207,Traced,1182,186,5,5,4,3,496280324
673029543,KCa'b'-m_R,,KCa'b'-m,Traced,611,225,161,67,6,4,383192868
673366263,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,632,247,160,89,8,6,458158360
673370525,KCa'b'-m_R,,KCa'b'-m,Traced,568,209,118,63,14,7,362640450
674393414,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,238,176,93,1,1,436340617
