id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,LAL(R) #post,LAL(R) #pre,#voxels
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,84,55,1,7,3486100136
5813062838,CRE022_L,,CRE022,Traced,5859,1060,37,,154,140,2547121426
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,55,1,165,21,3621432113
5813063137,SMP577(PVL06)_L,,SMP577,Traced,1468,778,28,3,10,9,1253278210
5813068769,CRE004_R,,CRE004,Traced,4808,1432,53,1,749,161,4486456977
5813069859,AstA1_R,,AstA1,Traced,6322,3719,9,,28,1,9598451006
5813078641,PLP162_R,,PLP162,Traced,1080,417,14,3,1,5,1009190514
5813079192,LAL185_R,pIP11 candidates,LAL185,Traced,1799,639,20,2,1144,173,1111782721
5813080769,CRE031_R,,CRE031,Traced,720,230,10,,18,23,681827294
5813083779,CRE022_R,,CRE022,Traced,8464,1155,370,3,85,78,2658194530
5813083780,SMP385_R,,SMP385,Traced,6235,2678,3,,19,1,2659884367
5813105778,LAL100(AVM14)_L,,LAL100,Traced,971,815,25,4,66,62,799850664
5813117385,MBON27(y5d)_R,,MBON27,Traced,8021,668,4012,8,175,14,1674077310
5813133463,CRE043_c_R,,CRE043_c,Traced,1579,207,26,,65,20,649082272
5901193671,CRE080_R,pMP6b candidates,CRE080,Traced,1561,277,121,4,106,13,1200274635
5901213440,CRE011_R,,CRE011,Traced,19674,2149,193,8,1724,648,5844952800
5901218930,CRE043_a_R,,CRE043_a,Traced,1377,182,96,,30,16,699609107
5901225361,KCg-m_R,,KCg-m,Traced,757,235,455,183,1,1,318598209
7112622044,LAL137(PVL05)_L,VeLC-(LC)(c)Sm(b),LAL137,Traced,2087,1376,1,,80,192,1529252938
