id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,#voxels
986633363,,,,Traced,2,2,2,2,1460228
1016986171,,,,Traced,3,3,3,3,1395555
1017327266,,,,Traced,18,4,18,4,2960309
1048020933,,,,Traced,2,2,2,2,252557
1048020935,,,,Traced,9,2,9,2,852079
1048362277,,,,Traced,10,3,8,3,2201530
1048362323,,,,Traced,19,2,16,2,2321501
1048703268,,,,Traced,5,4,5,4,1587834
1048703450,,,,Traced,11,3,11,3,2168200
1079055926,,,,Traced,11,5,11,5,2025173
1079738193,,,,Traced,2,4,2,4,2339053
1079738195,,,,Traced,7,5,1,2,5685494
1079738239,,,,Traced,3,2,3,2,266672
1080079043,,,,Traced,13,1,11,1,684045
1080420400,,,,Traced,27,2,21,1,2814944
1170409025,,,,Traced,401,202,19,9,122832054
1171423213,,,,Traced,978,429,1,1,295799970
1173866149,,,,Traced,400,200,5,1,142748783
5812979963,,,,Traced,376,23,23,2,35420944
5812980429,,,,Traced,67,27,1,2,21761923
5812981081,,,,Traced,544,84,518,77,93139223
5812981283,,,,Traced,3079,957,2077,3,1583145889
5812981576,,,,Traced,68,45,60,39,36891464
5812981584,,,,Traced,111,53,103,49,39883237
5812981585,,,,Traced,75,38,65,33,39740742
5812981595,,,,Traced,91,37,87,34,31885294
5812981832,,,,Traced,66,36,61,34,28774162
5812981833,,,,Traced,65,38,59,33,30416057
5812982356,,,,Traced,46,24,39,20,22614216
5812982357,,,,Traced,38,16,31,16,19682001
5812982359,,,,Traced,44,16,42,16,15061090
5812982361,,,,Traced,50,18,46,18,19601169
5812982362,,,,Traced,41,29,30,23,19924133
5813019513,PPL105(a'2a2)_R,,PPL105,Traced,7639,1726,82,32,2064191600
5813019607,PPL106(a3)(PDL05)_L,,PPL106,Traced,6476,1564,3,4,1814973075
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,30,15,869209965
5813032815,,,,Traced,107,39,104,36,34518245
5813046995,,,,Traced,79,27,4,1,17456637
5813056349,,,,Traced,36,17,29,16,16227147
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,16,12,2038784377
5813069689,,,,Traced,48,18,45,18,17835583
5813077591,,,,Traced,64,35,44,25,31865849
5813099047,,,,Traced,10,6,10,6,1978781
5901199769,,,,Traced,56,18,8,3,15795518
