id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,FB #post,FB #pre,#voxels
5813022925,FB4L(PPM3-FB3/4-DAN)_L,LALSIPFB4,FB4L,Traced,987,561,10,1,954,543,1147606193
5813027016,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6508,1720,1047,304,3007,1327,2846693400
5813027103,EPG(PB08)_R5,EPG,EPG,Traced,3574,491,3286,259,10,3,1188874706
5813041180,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1595,546,9,5,772,482,1501021625
5813044422,hDeltaK_13_C11,EBFB34D5FB6,hDeltaK,Traced,947,290,64,,874,287,726458618
5813045216,FB3C_R,LALSMPFB3,FB3C,Traced,795,235,1,,566,230,515092302
5813047626,hDeltaK_03_C3,EBFB34D5FB6,hDeltaK,Traced,1385,282,60,1,1309,278,742773766
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,108,56,1051,891,1798572771
5813056768,FB1E_b_L,SLPSIPFB1d,FB1E_b,Traced,484,332,1,,406,324,577006533
5813057274,FB4Y(EB/NO1)_L,EBCREFB45,FB4Y,Traced,5089,2001,1033,320,3695,1599,2082213746
5813057963,FB3B(EB)_R,EBCREFB3,FB3B,Traced,838,222,424,94,198,122,521205033
5813059834,PEG(PB07)_R8,PEG,PEG,Traced,1060,99,169,92,9,1,598312740
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,1331,348,622,485,1931391198
5813060787,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2265,794,1,,1798,783,1042477121
5813061251,EPG(PB08)_R8,EPG,EPG,Traced,2853,373,2649,206,19,3,1102701348
5813080838,EPG(PB08)_R3,EPG,EPG,Traced,4198,552,3831,267,7,1,1248939309
5813088939,FB6P_L,SMPCREFB6_1,FB6P,Traced,1862,285,152,33,1372,249,600756468
