id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,bL(R) #post,bL(R) #pre,#voxels
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,14,1,8,2,417324948
580610916,KCab-m_R,,KCab-m,Traced,579,207,229,95,140,67,273422608
580611301,KCab-m_R,,KCab-m,Traced,528,188,197,92,120,58,234266068
580934661,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,657,275,2,,1,2,452235552
580951922,KCab-m_R,,KCab-m,Traced,493,193,170,81,145,60,254913630
581293182,KCab-m_R,,KCab-m,Traced,556,210,234,102,167,71,306794072
581633934,KCab-s_R,,KCab-s,Traced,605,210,240,90,173,74,324073437
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,1,1,1046,316,434243909
599674785,KCab-m_R,,KCab-m,Traced,646,219,281,102,176,75,297572193
600011602,KCab-m_R,,KCab-m,Traced,551,203,218,85,151,65,289818556
600365719,KCab-p_R,,KCab-p,Traced,657,271,210,103,237,90,366582664
600667501,KCab-s_R,,KCab-s,Traced,532,226,192,102,139,69,297515530
601319398,KCab-m_R,,KCab-m,Traced,554,225,200,98,130,67,342000965
603422422,KCab-s_R,,KCab-s,Traced,598,215,215,97,165,64,312062411
611304789,KCab-s_R,,KCab-s,Traced,587,240,197,120,185,84,304981734
611309194,KCab-m_R,,KCab-m,Traced,558,214,203,85,142,73,178380647
611646050,KCab-p_R,,KCab-p,Traced,697,263,193,94,243,90,346062859
611646132,KCab-s_R,,KCab-s,Traced,622,231,200,111,191,73,300882703
611646147,KCab-p_R,,KCab-p,Traced,696,257,187,80,210,81,368031615
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,27,14,12,5,405985069
612668833,KCab-s_R,,KCab-s,Traced,544,235,203,116,132,63,286463671
612669205,KCab-s_R,,KCab-s,Traced,542,263,225,128,176,87,217965332
630373425,KCab-c_R,,KCab-c,Traced,500,172,175,67,130,47,246877128
630373497,KCab-s_R,,KCab-s,Traced,575,248,204,111,162,82,302148793
630377642,KCab-m_R,,KCab-m,Traced,611,202,209,79,142,60,265929898
630381662,KCab-m_R,,KCab-m,Traced,579,244,238,116,149,71,313827967
630722830,KCab-s_R,,KCab-s,Traced,530,215,213,107,139,70,321716656
631051012,KCab-s_R,,KCab-s,Traced,615,216,252,99,152,75,297689956
631059587,KCab-s_R,,KCab-s,Traced,547,216,207,111,152,70,322616700
631396453,KCab-m_R,,KCab-m,Traced,607,226,236,100,164,70,351998873
632013356,KCab-m_R,,KCab-m,Traced,556,185,232,82,103,60,284043275
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,2,1,2,2,424988147
642335523,KCab-p_R,,KCab-p,Traced,681,240,162,69,230,82,367954715
642335553,KCa'b'-m_R,,KCa'b'-m,Traced,722,286,14,9,2,3,440563976
642680823,KCab-s_R,,KCab-s,Traced,568,237,247,123,125,70,368727318
642680826,KCab-p_R,,KCab-p,Traced,670,262,191,85,221,81,341818524
642680853,KCab-m_R,,KCab-m,Traced,522,207,238,106,113,49,277237297
642680881,KCab-m_R,,KCab-m,Traced,499,193,170,83,153,70,242995569
642680969,KCab-p_R,,KCab-p,Traced,699,264,220,84,238,95,398461486
642681035,KCab-m_R,,KCab-m,Traced,502,186,189,79,115,58,264761257
642689607,KCab-m_R,,KCab-m,Traced,556,210,236,94,123,55,260167903
643362770,KCab-s_R,,KCab-s,Traced,596,243,246,107,164,79,320018612
643363111,KCab-s_R,,KCab-s,Traced,619,253,232,119,179,81,340653450
643703819,KCab-s_R,,KCab-s,Traced,638,243,241,113,185,84,325379209
660730340,KCab-c_R,,KCab-c,Traced,427,173,151,61,114,52,226907510
661076014,KCab-c_R,,KCab-c,Traced,417,161,168,73,97,45,146679174
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,18,3,6,2,388134264
661407917,KCa'b'-m_R,,KCa'b'-m,Traced,648,243,14,7,3,1,368237390
661408094,KCab-m_R,,KCab-m,Traced,555,179,204,83,132,45,359753080
662103124,KCab-c_R,,KCab-c,Traced,439,166,154,68,123,50,231604500
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,4,3,3,3,426186749
662414157,KCab-c_R,,KCab-c,Traced,490,182,183,84,98,43,152938291
662728826,KCab-m_R,,KCab-m,Traced,531,205,198,98,121,64,283630828
662772373,KCab-m_R,,KCab-m,Traced,580,209,239,85,154,71,344204862
662789529,KCab-s_R,,KCab-s,Traced,641,226,246,102,209,84,335022825
662802782,KCg-m_R,,KCg-m,Traced,821,234,2,,2,1,343032811
663134970,KCg-m_R,,KCg-m,Traced,784,259,1,1,9,5,392525010
673370525,KCa'b'-m_R,,KCa'b'-m,Traced,568,209,14,7,5,3,362640450
673715784,KCab-m_R,,KCab-m,Traced,544,188,204,86,140,57,271549203
674056647,KCab-m_R,,KCab-m,Traced,562,206,208,99,153,64,268157018
674056882,KCab-m_R,,KCab-m,Traced,587,226,245,113,154,71,306335052
674398014,KCab-m_R,,KCab-m,Traced,542,188,202,82,157,72,266024318
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,50,9,233,94,251389374
691760950,KCab-m_R,,KCab-m,Traced,529,199,199,87,125,59,241765288
